GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Years_Employed,Churn_Probability
M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Drivers,2,1,55.0,4,0.45399777810044034
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,1,57.0,2,0.6032482090815057
F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,65.0,0,0.5104679523557398
M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,52.0,3,0.7544434589213365
M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,Unknown,1,1,44.0,2,0.7824615087184079
F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,1,1,1,0,Unknown,4,1,43.0,20,0.045396437074752334
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,1,63.0,0,0.621147414889748
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,1,63.0,0,0.621147414889748
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,1,63.0,0,0.621147414889748
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,1,42.0,6,0.8024850174483097
F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Low-skill Laborers,3,1,42.0,6,0.7224635528533039
F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,3,1,51.0,11,0.536594978174943
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,30.0,3,0.6313326816038959
M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,30.0,3,0.6313326816038959
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,1,50.0,19,0.3952424723544437
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,1,50.0,19,0.3952424723544437
M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,1,0,High skill tech staff,1,1,31.0,0,0.7464764539224744
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,26.0,2,0.4365302640442514
M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,26.0,2,0.4365302640442514
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,1,28.0,1,0.9999999895105794
F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,IT staff,2,1,28.0,1,0.9999999895105794
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,9,0.37659961597687497
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,9,0.37659961597687497
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,49.0,9,0.37659961597687497
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Managers,2,1,51.0,5,0.5610978579108253
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,1,44.0,3,0.5563113084989012
M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1,1,44.0,3,0.15384142639935566
F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,4,1,45.0,22,0.09841750867439727
F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,4,1,45.0,22,0.21643398354742988
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Unknown,1,1,67.0,0,0.6763419251458748
F,N,Y,0,166500.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Unknown,1,1,67.0,0,0.6934841388287282
M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Unknown,1,1,67.0,0,0.7649964069549503
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Unknown,1,1,67.0,0,0.6763419251458748
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,1,25.0,1,0.7407996285936358
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,1,25.0,1,0.7407996285936358
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,1,-0.0,1,0.5991185669020017
M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2,1,57.0,0,0.6527581808536721
M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,Unknown,2,1,64.0,0,0.937033766005018
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,Unknown,2,1,59.0,0,0.8844193360988946
F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Waiters/barmen staff,3,1,24.0,4,0.5206257078569653
M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,35.0,0,0.6323892443548079
M,N,Y,1,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,35.0,0,0.6286876430344153
F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2,1,41.0,10,0.1947996126233888
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,52.0,4,0.5618148215208079
F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,1,0,0,0,Laborers,3,1,26.0,7,0.6303485121458237
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,1,0,1,0,Sales staff,2,1,38.0,0,0.31701192987991095
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,37.0,7,0.3086735696915653
Unknown,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,1,0,0,0,Core staff,1,1,52.0,5,0.9718120329717311
F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Accountants,2,1,30.0,4,0.6113453699687963
F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Accountants,2,1,30.0,4,0.7992051648760123
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,42.0,3,0.606998324683816
F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,4,1,39.0,13,0.36162183653952645
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,Unknown,3,1,33.0,9,0.32997371393226704
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,Unknown,3,1,33.0,9,0.32997371393226704
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,3,0.29232172983125265
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,3,0.29232172983125265
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,3,0.29232172983125265
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,51.0,3,0.6554453994752081
F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Accountants,2,1,55.0,6,0.5387015735059194
M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Unknown,3,1,34.0,5,0.24530952876057327
F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Security staff,2,1,42.0,2,0.8036073033069222
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,29.0,0,0.4942395074588059
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,29.0,0,0.4942395074588059
M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,1,47.0,1,0.631804022017207
F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,60.0,0,0.5770675092304952
M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Core staff,3,1,41.0,18,0.37965344915468235
F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,1,54.0,1,0.7761290185784432
F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,1,54.0,1,0.7761290185784432
F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,1,1,1,0,Cleaning staff,1,1,46.0,6,0.5095259574319999
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,51.0,22,0.10763388682159968
M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,1,44.0,1,0.5722210639849785
M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1,1,62.0,0,0.5317241825893363
M,Y,N,0,166500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,1,0,1,1,High skill tech staff,1,1,31.0,1,0.8626726973745179
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,1,54.0,19,0.38925977355909513
M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,0,0,Security staff,1,1,53.0,0,0.8649910113268615
F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,1,63.0,0,0.38328303997364477
F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,1,63.0,0,0.5147122125721136
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,Unknown,3,1,31.0,4,0.803604073798596
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,Unknown,3,1,31.0,4,0.803604073798596
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,9,0.35925050527389635
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,9,0.35925050527389635
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,9,0.35925050527389635
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,9,0.35925050527389635
F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,2,1,39.0,9,0.5865556035142616
M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,1,39.0,2,0.4556760525264921
M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,1,39.0,2,0.4556760525264921
F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,6,1,47.0,20,0.36342367267648895
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,62.0,0,0.6112701234976681
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,62.0,0,0.6112701234976681
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,62.0,0,0.6112701234976681
F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,62.0,0,0.6074878578370014
M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,41.0,20,0.23919964584965375
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3,1,35.0,10,0.5780972984725858
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Unknown,1,1,61.0,0,0.6365045212705568
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Unknown,1,1,65.0,0,0.3994205391967402
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,2,1,58.0,0,0.8672219876266914
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,2,1,58.0,0,0.8672219876266914
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,2,1,58.0,0,0.8672219876266914
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Unknown,2,1,58.0,0,0.9429443097016087
M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,2,1,58.0,0,0.9105098003068433
F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,49.0,2,0.5407160627456422
F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,2,1,38.0,0,0.6202625421494747
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,57.0,0,0.5709949454586539
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,1,44.0,1,0.781680248387686
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,1,44.0,1,0.781680248387686
M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Cooking staff,1,1,49.0,4,0.9505070880150907
M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Laborers,3,1,35.0,4,0.8103260947064672
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,1,1,0,0,Sales staff,4,1,27.0,5,0.34223991110630103
Unknown,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,58.0,0,0.9915389537121477
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,1,0.8358947760108885
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,1,0.8358947760108885
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,1,0.8358947760108885
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,1,29.0,5,0.48242319284580526
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,1,29.0,5,0.48242319284580526
M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,1,51.0,2,0.6950224266315023
F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,1,28.0,2,0.5912068484269747
F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,1,28.0,2,0.5912068484269747
M,Y,Y,2,166500.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,1,48.0,11,0.5261305047083463
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,1,48.0,11,0.6078533698866779
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,1,48.0,11,0.6078533698866779
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,1,44.0,2,0.5704806470677302
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,1,44.0,2,0.5704806470677302
F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,1,0.7821200617893389
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,1,0.7821200617893389
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,1,0.7821200617893389
M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,1,Laborers,3,1,35.0,6,0.8434190753032064
F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2,1,59.0,0,0.6278855705400344
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,1,60.0,0,0.5731848234929529
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,1,27.0,0,0.3595884212550304
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,1,34.0,3,0.303353713009436
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,4,0.5526124664214134
F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Managers,1,1,39.0,2,0.1954767804754067
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,1,47.0,2,0.8626381919091146
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,1,47.0,2,0.8626381919091146
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,1,26.0,1,0.5514109095918609
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,1,26.0,1,0.5514109095918609
Unknown,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,1,26.0,1,0.9852138028853937
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,47.0,6,0.3868298225675101
F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,1,33.0,3,0.6190270427447088
F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,1,33.0,3,0.5100577755822987
F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Cleaning staff,3,0,43.0,17,0.35941005866009146
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,48.0,6,0.6808658108046578
F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,1,1,Sales staff,2,0,35.0,0,0.20058155159773303
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,0,56.0,25,0.05965878041186479
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Private service staff,3,0,44.0,8,0.0027626952134575354
F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,0,39.0,8,0.2956438305270138
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,47.0,5,0.47823671901247006
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,66.0,0,0.6082134120697656
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,1,1,0,0,Core staff,2,0,31.0,2,0.5325911715824436
F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2,0,60.0,0,0.5601798447614584
F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,3,0,38.0,0,0.5542761456557266
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,56.0,0,0.5801858702889812
M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,1,1,0,0,Unknown,3,0,28.0,4,0.8403305575258041
Unknown,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,0,Managers,3,0,41.0,12,0.9533596091092764
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Core staff,2,0,58.0,4,0.774851059714445
F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,40.0,1,0.34660425547378265
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1,0,40.0,1,0.5496605330157797
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,0,29.0,2,0.35093966170582175
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,59.0,0,0.5797845237353038
M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Unknown,2,0,45.0,0,0.8806532571929476
F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2,0,59.0,0,0.5772015373995867
F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,1,0,0,0,Unknown,2,0,34.0,7,0.26576921176855745
